ID,label
0,2
1,0
2,1
3,3
4,0
5,2
6,0
7,0
8,1
9,1
10,0
11,2
12,4
13,0
14,0
15,0
16,2
17,0
18,0
19,2
20,3
21,0
22,0
23,3
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,2
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,2
43,0
44,0
45,2
46,0
47,2
48,0
49,0
50,1
51,6
52,0
53,1
54,1
55,0
56,0
57,0
58,0
59,2
60,0
61,0
62,2
63,2
64,1
65,0
66,0
67,0
68,0
69,0
70,2
71,2
72,2
73,0
74,2
75,0
76,3
77,2
78,2
79,1
80,0
81,2
82,0
83,0
84,2
85,1
86,4
87,0
88,0
89,1
90,0
91,0
92,3
93,2
94,0
95,1
96,2
97,0
98,1
99,2
100,0
101,0
102,0
103,0
104,2
105,0
106,0
107,0
108,5
109,1
110,0
111,0
112,0
113,2
114,0
115,0
116,0
117,0
118,1
119,2
120,0
121,2
122,0
123,0
124,1
125,0
126,0
127,1
128,0
129,0
130,1
131,0
132,2
133,1
134,0
135,0
136,0
137,5
138,1
139,0
140,6
141,4
142,4
143,0
144,1
145,1
146,0
147,0
148,1
149,0
150,5
151,0
152,1
153,2
154,2
155,3
156,4
157,2
158,3
159,2
160,0
161,0
162,0
163,4
164,0
165,0
166,0
167,1
168,0
169,0
170,0
171,0
172,2
173,5
174,0
175,0
176,2
177,0
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,4
186,1
187,0
188,5
189,0
190,2
191,2
192,2
193,9
194,1
195,5
196,0
197,0
198,1
199,2
200,3
201,6
202,0
203,1
204,0
205,1
206,0
207,0
208,1
209,4
210,0
211,1
212,0
213,2
214,0
215,0
216,1
217,2
218,1
219,2
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,0
232,2
233,0
234,2
235,2
236,0
237,0
238,2
239,0
240,2
241,3
242,5
243,0
244,0
245,2
246,0
247,5
248,0
249,0
250,0
251,0
252,0
253,0
254,4
255,0
256,5
257,0
258,1
259,2
260,2
261,0
262,0
263,2
264,3
265,0
266,0
267,0
268,2
269,0
270,0
271,2
272,2
273,2
274,0
275,5
276,2
277,0
278,0
279,2
280,0
281,0
282,0
283,2
284,4
285,0
286,2
287,0
288,1
289,0
290,0
291,0
292,2
293,1
294,0
295,2
296,0
297,1
298,0
299,0
300,2
301,2
302,1
303,2
304,0
305,4
306,0
307,0
308,4
309,0
310,0
311,0
312,0
313,0
314,4
315,0
316,1
317,0
318,0
319,0
320,0
321,0
322,4
323,2
324,0
325,0
326,2
327,3
328,0
329,0
330,0
331,0
332,2
333,0
334,0
335,0
336,0
337,2
338,5
339,6
340,0
341,0
342,2
343,5
344,2
345,0
346,4
347,0
348,2
349,1
350,2
351,2
352,1
353,1
354,0
355,1
356,5
357,2
358,0
359,2
360,0
361,0
362,0
363,1
364,0
365,0
366,2
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,2
381,1
382,1
383,1
384,1
385,0
386,1
387,2
388,2
389,0
390,0
391,1
392,3
393,2
394,2
395,0
396,3
397,4
398,5
399,0
400,0
401,4
402,2
403,0
404,0
405,1
406,0
407,0
408,9
409,0
410,0
411,0
412,1
413,0
414,0
415,0
416,0
417,1
418,0
419,2
420,1
421,0
422,1
423,0
424,0
425,0
426,0
427,1
428,0
429,0
430,0
431,0
432,2
433,1
434,0
435,0
436,0
437,0
438,0
439,2
440,2
441,0
442,0
443,2
444,0
445,2
446,2
447,2
448,2
449,1
450,0
451,2
452,0
453,2
454,0
455,2
456,1
457,0
458,0
459,3
460,0
461,0
462,0
463,5
464,1
465,0
466,0
467,1
468,0
469,0
470,0
471,1
472,0
473,2
474,4
475,0
476,2
477,2
478,2
479,0
480,3
481,2
482,1
483,4
484,0
485,2
486,1
487,1
488,2
489,0
490,0
491,4
492,0
493,3
494,2
495,0
496,0
497,0
498,2
499,1
500,0
501,3
502,0
503,0
504,0
505,1
506,1
507,0
508,4
509,0
510,8
511,1
512,0
513,1
514,0
515,0
516,2
517,0
518,2
519,0
520,5
521,0
522,5
523,1
524,1
525,1
526,2
527,1
528,2
529,3
530,1
531,4
532,1
533,0
534,2
535,1
536,0
537,2
538,2
539,0
540,0
541,1
542,0
543,1
544,6
545,0
546,0
547,3
548,2
549,3
550,0
551,0
552,0
553,1
554,0
555,0
556,0
557,3
558,0
559,2
560,3
561,3
562,0
563,0
564,2
565,2
566,8
567,4
568,2
569,6
570,0
571,2
572,1
573,0
574,0
575,4
576,4
577,2
578,1
579,6
580,5
581,4
582,5
583,1
584,0
585,0
586,0
587,0
588,6
589,0
590,2
591,0
592,2
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,0
601,1
602,0
603,0
604,1
605,3
606,0
607,0
608,0
609,0
610,1
611,3
612,0
613,0
614,5
615,0
616,2
617,5
618,3
619,0
620,0
621,2
622,3
623,1
624,0
625,0
626,1
627,0
628,0
629,0
630,0
631,0
632,5
633,1
634,0
635,2
636,1
637,0
638,0
639,1
640,2
641,0
642,1
643,0
644,2
645,0
646,0
647,1
648,0
649,4
650,0
651,0
652,4
653,1
654,6
655,0
656,3
657,0
658,0
659,0
660,1
661,2
662,1
663,2
664,4
665,0
666,0
667,2
668,0
669,1
670,0
671,0
672,2
673,2
674,1
675,2
676,1
677,0
678,2
679,1
680,0
681,8
682,0
683,0
684,0
685,1
686,1
687,0
688,2
689,0
690,1
691,2
692,3
693,0
694,1
695,3
696,0
697,0
698,0
699,2
700,1
701,2
702,0
703,0
704,2
705,0
706,5
707,1
708,2
709,5
710,4
711,2
712,1
713,0
714,5
715,0
716,2
717,0
718,2
719,1
720,0
721,6
722,2
723,5
724,0
725,0
726,5
727,0
728,2
729,1
730,0
731,5
732,0
733,0
734,0
735,0
736,6
737,0
738,0
739,1
740,1
741,0
742,1
743,6
744,0
745,0
746,2
747,1
748,0
749,0
750,3
751,1
752,2
753,1
754,0
755,2
756,2
757,5
758,0
759,2
760,0
761,2
762,2
763,0
764,4
765,2
766,0
767,0
768,1
769,0
770,2
771,0
772,3
773,0
774,0
775,2
776,5
777,2
778,1
779,2
780,0
781,4
782,2
783,0
784,0
785,0
786,0
787,1
788,2
789,2
790,0
791,1
792,0
793,1
794,0
795,2
796,3
797,1
798,0
799,1
800,0
801,0
802,4
803,0
804,2
805,1
806,1
807,0
808,0
809,2
810,0
811,2
812,0
813,1
814,3
815,1
816,1
817,1
818,4
819,5
820,6
821,0
822,2
823,0
824,0
825,0
826,5
827,0
828,4
829,0
830,8
831,0
832,0
833,5
834,2
835,0
836,0
837,0
838,2
839,5
840,0
841,0
842,1
843,0
844,3
845,0
846,1
847,0
848,1
849,1
850,2
851,2
852,0
853,0
854,0
855,6
856,0
857,2
858,0
859,0
860,6
861,2
862,0
863,0
864,0
865,2
866,2
867,1
868,2
869,0
870,2
871,4
872,0
873,5
874,1
875,2
876,0
877,1
878,0
879,0
880,1
881,0
882,6
883,2
884,2
885,2
886,0
887,2
888,0
889,0
890,4
891,3
892,5
893,0
894,1
895,2
896,0
897,2
898,1
899,0
900,0
901,0
902,1
903,1
904,2
905,0
906,0
907,2
908,6
909,0
910,0
911,0
912,0
913,0
914,0
915,1
916,0
917,2
918,0
919,3
920,2
921,3
922,0
923,0
924,2
925,0
926,2
927,1
928,1
929,0
930,3
931,0
932,3
933,3
934,2
935,0
936,2
937,0
938,0
939,0
940,0
941,2
942,0
943,6
944,2
945,0
946,0
947,0
948,2
949,1
950,0
951,1
952,0
953,0
954,1
955,0
956,0
957,1
958,0
959,2
960,0
961,0
962,2
963,0
964,0
965,2
966,0
967,2
968,0
969,0
970,2
971,0
972,0
973,3
974,2
975,3
976,0
977,0
978,0
979,2
980,0
981,0
982,0
983,0
984,0
985,1
986,0
987,2
988,1
989,2
990,0
991,2
992,1
993,0
994,0
995,1
996,1
997,1
998,1
999,3
1000,1
1001,0
1002,1
1003,0
1004,2
1005,0
1006,1
1007,0
1008,2
1009,5
1010,2
1011,0
1012,0
1013,2
1014,0
1015,0
1016,0
1017,3
1018,0
1019,5
1020,0
1021,0
1022,0
1023,3
1024,0
1025,1
1026,2
1027,0
1028,1
1029,0
1030,2
1031,0
1032,0
1033,1
1034,1
1035,0
1036,0
1037,1
1038,2
1039,2
1040,0
1041,0
1042,0
1043,0
1044,3
1045,1
1046,0
1047,0
1048,4
1049,2
1050,0
1051,5
1052,0
1053,0
1054,0
1055,0
1056,0
1057,1
1058,4
1059,3
1060,1
1061,0
1062,0
1063,1
1064,0
1065,0
1066,0
1067,0
1068,3
1069,2
1070,0
1071,6
1072,2
1073,0
1074,0
1075,0
1076,9
1077,0
1078,2
1079,0
1080,5
1081,2
1082,3
1083,0
1084,2
1085,0
1086,3
1087,0
1088,2
1089,4
1090,2
1091,0
1092,0
1093,1
1094,1
1095,5
1096,0
1097,2
1098,0
1099,1
1100,2
1101,0
1102,8
1103,0
1104,3
1105,5
1106,1
1107,0
1108,0
1109,0
1110,0
1111,0
1112,2
1113,0
1114,0
1115,2
1116,0
1117,1
1118,0
1119,1
1120,1
1121,0
1122,0
1123,4
1124,0
1125,0
1126,1
1127,0
1128,0
1129,1
1130,0
1131,0
1132,1
1133,1
1134,0
1135,0
1136,1
1137,0
1138,0
1139,2
1140,0
1141,5
1142,0
1143,0
1144,6
1145,2
1146,1
1147,5
1148,2
1149,0
1150,1
1151,0
1152,1
1153,5
1154,0
1155,1
1156,2
1157,0
1158,0
